window_start,window_end,minFDR_PG10,minFDR_BSU168,significant
BSU00700,BSU00790,3.96108088902252e-13,2.74595045464406e-14,Both
BSU13450,BSU13530,0.444284567042443,0.385031851118742,Neither
BSU04710,BSU05040,0.0367794678328391,0.0260470757432601,Both
BSU10060,BSU10150,0.000323425051008131,0.000165523094759696,Both
BSU25560,BSU25640,0.134988167352062,0.113102349661494,Neither
BSU00900,BSU00990,0.00635856650112604,0.000829624551441938,Both
BSU02230,BSU02340,0.123451013287745,0.0674749952553003,Neither
BSU32300,BSU32719,4.92493642954522e-05,1.30084812078562e-05,Both
BSU03340,BSU03420,0.195968318212017,0.188363620678878,Neither
BSU03550,BSU03651,0.0136639504303113,0.0134622170865702,Both
BSU34910,BSU35000,0.000527403070654342,0.000139699441912707,Both
BSU07830,BSU07920,0.0210318939353604,0.0157307845479895,Both
BSU00110,BSU00200,0.000337696708332603,0.000138777524208968,Both
BSU30150,BSU30240,3.30141525129903e-13,2.28970410887064e-14,Both
BSU27650,BSU27730,0.00127574312036761,0.000524270647011658,Both
BSU21810,BSU21900,0.123305877572723,0.104913693489025,Neither
BSU23130,BSU23220,3.38293996009841e-05,8.92293507360673e-06,Both
BSU22350,BSU22440,3.78443618229113e-05,9.98897319794776e-06,Both
BSU16700,BSU16790,0.000144303917315257,5.23882900589987e-05,Both
BSU40100,BSU40180,0.34462079983791,0.30576849292265,Neither
BSU35560,BSU35660,8.15222163441501e-12,8.466457694776e-13,Both
BSU36540,BSU36630,0.178005477398217,0.114325738750773,Neither
BSU32670,BSU32750,4.73053104416844e-05,1.24949885285987e-05,Both
BSU38030,BSU38130,0.228304248159621,0.211502616688931,Neither
BSU02220,BSU02330,0.108861348081012,0.0595006776342193,Neither
BSU00650,BSU00740,0.0828260239367218,0.0560420287993988,Neither
BSU05140,BSU05230,0.0676508819925427,0.0527582570861453,Neither
BSU12080,BSU12890,0.141147558828415,0.0970679297896124,Neither
BSU18230,BSU18360,0.0511064305779582,0.0217395288177921,BSU168_only
BSU23800,BSU23890,0.00475579617443461,0.00195580822097996,Both
BSU24100,BSU24190,2.91842769436415e-07,4.93561344380397e-08,Both
BSU15020,BSU15100,0.346626910175181,0.222222222222231,Neither
BSU05310,BSU05390,0.0180144332242477,0.0127577513844539,Both
BSU31750,BSU32020,4.99088883146095e-07,4.03033689630353e-07,Both
BSU07270,BSU07360,0.650094580273898,0.640121346290297,Neither
BSU07810,BSU07900,0.0267678650086405,0.0188769414575874,Both
BSU00670,BSU00760,0.000206553488756448,5.46350516288033e-05,Both
BSU30890,BSU30980,5.02141198767132e-12,5.43088271684898e-13,Both
BSU00690,BSU00780,6.7643545609926e-10,7.32415069703623e-11,Both
BSU28160,BSU28250,0.000190402511909992,5.03274615279556e-05,Both
BSU39270,BSU39350,0.106551011799171,0.0442284167868698,BSU168_only
BSU37650,BSU37980,0.00281859567952365,0.000970795366905367,Both
BSU03300,BSU03380,8.30322670324288e-07,1.40695514407119e-07,Both
BSU22490,BSU22580,0.223500921907255,0.111623071749905,Neither
BSU30940,BSU31030,7.64127911167375e-12,8.26438674303105e-13,Both
BSU18050,BSU18140,0.0376999252318505,0.0181946706276377,Both
BSU09190,BSU09280,0.0424897502795383,0.0272401433691767,Both
BSU40070,BSU40150,0.00326360714356182,0.00161494506948015,Both
BSU24750,BSU24840,0.99711449822598,0.99112244435611,Neither
BSU08050,BSU08460,5.31827459622265e-07,9.01036407764212e-08,Both
BSU36390,BSU36490,0.00230330641883132,0.0231047718638644,Both
BSU33900,BSU34380,6.70762648389028e-08,9.59260959582642e-09,Both
BSU17340,BSU17430,0.0191704438028429,0.0235815404162241,Both
BSU38110,BSU38200,1.19472169805453e-07,4.70605002781308e-08,Both
BSU07800,BSU07890,0.0298173686172198,0.0210274790919961,Both
BSU23950,BSU24040,0.0786264156201146,0.0477145408847379,BSU168_only
BSU27330,BSU27420,0.000178467716330244,3.41553754226558e-05,Both
BSU11590,BSU11680,3.53054163555234e-06,6.00564892344928e-07,Both
BSU15530,BSU15710,3.76378815622012e-07,3.96023867937045e-08,Both
BSU03360,BSU03450,0.0642797557271338,0.0464948177625079,BSU168_only
BSU25580,BSU25670,0.101256738954783,0.0749491720178811,Neither
BSU26440,BSU27120,0.0402899499017566,0.0305630270606695,Both
BSU29249,BSU29330,0.29023155988362,0.186179471891552,Neither
BSU29160,BSU29240,0.00463690719690431,0.00111469469873967,Both
BSU21770,BSU21860,0.119412007754637,0.105833989045946,Neither
BSU33860,BSU33950,4.53473339755963e-08,6.48514451548829e-09,Both
BSU40060,BSU40140,7.82211025475436e-06,2.06172739303373e-06,Both
BSU10410,BSU10500,0.110486160639619,0.495893224244678,Neither
BSU00220,BSU00310,0.0405329854640332,0.0259856630824383,Both
BSU27490,BSU27580,0.00848618627943674,0.00167758211102445,Both
BSU27810,BSU27900,5.2567650027324e-05,2.31579261378636e-05,Both
BSU38020,BSU38120,0.277667328842783,0.25723291218924,Neither
BSU02710,BSU02800,0.0766786028572738,0.0366260339502766,BSU168_only
BSU18380,BSU18470,0.000112916164828659,4.63032062554108e-05,Both
BSU00740,BSU00830,3.07767435981606e-13,2.13354423814071e-14,Both
BSU34980,BSU35220,0.0106921986417644,0.00922364566447527,Both
BSU13640,BSU13850,2.37120523398462e-07,4.01274555179419e-08,Both
BSU36330,BSU36420,0.00442086232001496,0.0238787530553338,Both
BSU18080,BSU18170,0.000189951074833348,0.000330679228512603,Both
BSU03060,BSU03150,0.110715734463316,0.0858990954252226,Neither
BSU07990,BSU08070,0.0148649774164528,0.01007366775062,Both
BSU27500,BSU27590,0.000272107880634236,3.53424657067488e-05,Both
BSU31410,BSU31500,0.486671456856961,0.358966279293452,Neither
BSU31010,BSU31110,0.00010541854916203,4.33220842768737e-05,Both
BSU26430,BSU27110,0.0594348197132296,0.0471259691348496,BSU168_only
BSU25550,BSU25630,0.1415050346376,0.106730386300283,Neither
BSU09590,BSU09680,0.000800466271603208,0.000328954131458295,Both
BSU15560,BSU15740,0.00558450394541125,0.00109644047168483,Both
BSU31050,BSU31150,0.000141153650572887,5.8007536574119e-05,Both
BSU29970,BSU30070,0.27896380123795,0.219170422399656,Neither
BSU09500,BSU09600,0.139768915393218,0.0896057347670287,Neither
BSU32260,BSU32680,0.0083216231906164,0.00343205420073498,Both
BSU10180,BSU10330,0.156016401747228,0.111150023785474,Neither
BSU22180,BSU22380,0.129283215557667,0.0740037153502763,Neither
BSU30880,BSU30970,1.11902166145255e-08,1.89003770017539e-09,Both
BSU32760,BSU32849,0.000249942463557776,0.000101813808891065,Both
BSU15250,BSU15380,0.00465302034049586,0.001917654020609,Both
BSU23790,BSU23880,0.00408174632293994,0.0016786070558017,Both
BSU33850,BSU33940,4.53473339755963e-08,6.48514451548829e-09,Both
BSU27950,BSU28040,0.00877650737459748,0.00307650955918478,Both
BSU04040,BSU04130,0.169017768559497,0.130185489735022,Neither
BSU33660,BSU33800,2.31285092189654e-07,3.91652139025004e-08,Both
BSU02380,BSU02540,0.10421316665801,0.0639187574671471,Neither
BSU33280,BSU33370,5.17783185157432e-06,3.28221588600003e-06,Both
BSU16650,BSU16740,0.0351068478354129,0.0192806881859957,Both
BSU15110,BSU15200,5.40328210542626e-06,9.29177197951205e-07,Both
BSU13060,BSU13150,0.0202435994729727,0.00835496488059813,Both
BSU40470,BSU40550,0.742643114454832,0.68227102145928,Neither
BSU39260,BSU39340,0.148089242049484,0.166545826130365,Neither
BSU13530,BSU13620,1.57392237979808e-16,6.98862034569177e-18,Both
BSU16490,BSU16580,0.000778091722469556,9.17817803460836e-05,Both
BSU37470,BSU37560,0.00323252517076599,0.00177502790247798,Both
BSU04760,BSU05090,0.99711449822598,0.99112244435611,Neither
BSU37490,BSU37580,0.00326360714356182,0.00179209547846335,Both
BSU15910,BSU16000,0.000669368949748178,0.00054985034508491,Both
BSU24120,BSU24210,2.10398275640206e-07,3.55823294785867e-08,Both
BSU11530,BSU11610,0.183807837367768,0.107295733298095,Neither
BSU32140,BSU32230,0.00936182608944345,0.00386106097582686,Both
BSU18060,BSU18150,0.0252039032428378,0.0209584180647472,Both
BSU05160,BSU05250,0.0676508819925427,0.0527582570861453,Neither
BSU27880,BSU27970,0.0726798360044734,0.0465949820788549,BSU168_only
BSU40420,BSU40510,0.344885612459045,0.265236284455283,Neither
BSU13050,BSU13140,0.0136687551996995,0.00564138654330985,Both
BSU14430,BSU14520,0.310466270025779,0.319424342569803,Neither
BSU15390,BSU15480,0.0588734078533771,0.0245606436399267,BSU168_only
BSU15790,BSU15880,0.01004090490149,0.0110389572801281,Both
BSU03490,BSU03600,1.10264807075056e-10,0.000179170470375867,Both
BSU37230,BSU37320,2.23820237880714e-09,2.42750758073499e-10,Both
BSU01180,BSU01270,2.323046461764e-13,4.08045420336925e-15,Both
BSU19120,BSU19310,0.37361265797615,0.332826311446841,Neither
BSU27140,BSU27230,0.313314450503298,0.241570506590869,Neither
BSU29010,BSU29110,0.00115602305632996,0.0465556964501759,Both
BSU30310,BSU30570,0.125022825796021,0.100358422939072,Neither
BSU35630,BSU35720,4.26315156477968e-06,6.94431877169737e-07,Both
BSU16770,BSU16870,0.464515793078892,0.356877080791026,Neither
BSU35700,BSU36000,1.94399949321932e-12,1.28172119821283e-11,Both
BSU15780,BSU15870,0.00686340335038559,0.00754561636869516,Both
BSU23630,BSU23720,0.106666299786288,0.153295164402919,Neither
BSU29550,BSU29640,0.0655982109578837,0.0525121587386428,Neither
BSU01650,BSU01740,3.9405674260487e-05,0.000226659540663423,Both
