IDbsub	BiolProc	MolFun	CellComp
BSU15300	GO:0006508 GO:0006807 GO:0008152 GO:0019538 GO:0043170 GO:0044238 GO:0071704 GO:1901564	GO:0003824 GO:0004175 GO:0004252 GO:0008233 GO:0008236 GO:0016787 GO:0017171 GO:0140096	GO:0005576 GO:0110165
BSU15310	GO:0000003 GO:0006508 GO:0006807 GO:0008152 GO:0009653 GO:0009987 GO:0019538 GO:0019954 GO:0030154 GO:0030435 GO:0030436 GO:0032502 GO:0043170 GO:0043934 GO:0044238 GO:0048646 GO:0048856 GO:0048869 GO:0071704 GO:1901564	GO:0003824 GO:0004175 GO:0004190 GO:0005488 GO:0005515 GO:0008233 GO:0016787 GO:0043621 GO:0070001 GO:0140096	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
BSU15320	GO:0006139 GO:0006351 GO:0006352 GO:0006355 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009653 GO:0009889 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0016070 GO:0018130 GO:0019219 GO:0019222 GO:0019438 GO:0030154 GO:0030435 GO:0031323 GO:0031326 GO:0032502 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0043934 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576 GO:1903506 GO:2000142 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0016987 GO:0097159 GO:0140110 GO:1901363	
BSU15330	GO:0006139 GO:0006351 GO:0006352 GO:0006355 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009653 GO:0009889 GO:0009987 GO:0010467 GO:0010468 GO:0010556 GO:0016070 GO:0018130 GO:0019219 GO:0019222 GO:0019438 GO:0030154 GO:0030435 GO:0031323 GO:0031326 GO:0032502 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0043934 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0071704 GO:0080090 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576 GO:1903506 GO:2000142 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0016987 GO:0097159 GO:0140110 GO:1901363	
BSU15340	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0000166 GO:0005215 GO:0005488 GO:0005524 GO:0015399 GO:0017076 GO:0022804 GO:0022857 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0042626 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0032991 GO:0043190 GO:0071944 GO:0098533 GO:0098796 GO:0098797 GO:0110165 GO:1902495 GO:1990351
BSU15350	GO:0006066 GO:0006725 GO:0006766 GO:0006767 GO:0006772 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009228 GO:0009229 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0034308 GO:0034309 GO:0034641 GO:0042357 GO:0042364 GO:0042723 GO:0042724 GO:0044237 GO:0044249 GO:0044271 GO:0044272 GO:0044281 GO:0044283 GO:0046165 GO:0046483 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901615 GO:1901617	GO:0003824 GO:0005488 GO:0016787 GO:0043167 GO:0043169 GO:0046872	
BSU15360	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		
BSU15370		GO:0003824 GO:0004000 GO:0004731 GO:0005488 GO:0005507 GO:0016491 GO:0016740 GO:0016757 GO:0016763 GO:0016787 GO:0016810 GO:0016814 GO:0017061 GO:0019239 GO:0043167 GO:0043169 GO:0046872 GO:0046914	
BSU15380		GO:0005488 GO:0019842 GO:0030170 GO:0036094 GO:0043167 GO:0043168 GO:0070279 GO:0097159 GO:1901363	
BSU15390	GO:0000003 GO:0000910 GO:0000917 GO:0007049 GO:0009987 GO:0016043 GO:0019954 GO:0022402 GO:0022414 GO:0022607 GO:0032505 GO:0032506 GO:0043093 GO:0044085 GO:0051301 GO:0071840 GO:0090529	GO:0005488 GO:0005515 GO:0042802	GO:0005622 GO:0005737 GO:0110165
BSU15400			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU15410		GO:0003676 GO:0003723 GO:0005488 GO:0097159 GO:1901363	
BSU15420	GO:0000910 GO:0000917 GO:0007049 GO:0009653 GO:0009987 GO:0016043 GO:0022402 GO:0022607 GO:0030154 GO:0030435 GO:0032502 GO:0032506 GO:0043934 GO:0044085 GO:0048646 GO:0048856 GO:0048869 GO:0051301 GO:0071840 GO:0090529	GO:0005488 GO:0005515 GO:0042802	GO:0005622 GO:0005737 GO:0110165
BSU15430	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006428 GO:0006450 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0065007 GO:0065008 GO:0071704 GO:0090304 GO:0106074 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0002161 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004822 GO:0005488 GO:0005524 GO:0016787 GO:0016788 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0052689 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU15440		GO:0005488 GO:0008270 GO:0043167 GO:0043169 GO:0046872 GO:0046914	
BSU15450	GO:0006508 GO:0006807 GO:0008152 GO:0019538 GO:0043170 GO:0044238 GO:0071704 GO:1901564	GO:0003824 GO:0004175 GO:0004190 GO:0008233 GO:0016787 GO:0070001 GO:0140096	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU15460	GO:0000154 GO:0000455 GO:0001522 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031118 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0044085 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0009982 GO:0016853 GO:0016866 GO:0097159 GO:0120159 GO:0140098 GO:0140640 GO:1901363	
BSU15470	GO:0006139 GO:0006351 GO:0006353 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0018130 GO:0019438 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0071704 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003723 GO:0003824 GO:0004845 GO:0005488 GO:0016740 GO:0016757 GO:0016763 GO:0097159 GO:1901363	
BSU15480	GO:0006810 GO:0009987 GO:0015851 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705	GO:0005215 GO:0015205 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU15490	GO:0006082 GO:0006139 GO:0006206 GO:0006207 GO:0006220 GO:0006221 GO:0006222 GO:0006520 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009112 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019752 GO:0019856 GO:0034641 GO:0034654 GO:0043436 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046049 GO:0046112 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004070 GO:0005488 GO:0016597 GO:0016740 GO:0016741 GO:0016743 GO:0036094 GO:0043177	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU15500	GO:0006139 GO:0006220 GO:0006221 GO:0006222 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0034641 GO:0034654 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046049 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004151 GO:0005488 GO:0008270 GO:0016787 GO:0016810 GO:0016812 GO:0043167 GO:0043169 GO:0046872 GO:0046914	
BSU15510	GO:0006082 GO:0006139 GO:0006206 GO:0006207 GO:0006220 GO:0006221 GO:0006222 GO:0006520 GO:0006525 GO:0006526 GO:0006541 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009064 GO:0009084 GO:0009112 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019752 GO:0019856 GO:0034641 GO:0034654 GO:0043436 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046049 GO:0046112 GO:0046390 GO:0046394 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0000166 GO:0003824 GO:0004088 GO:0005488 GO:0005524 GO:0016874 GO:0016879 GO:0016884 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005951 GO:0032991 GO:0110165 GO:1902494
BSU15520	GO:0006082 GO:0006139 GO:0006220 GO:0006221 GO:0006222 GO:0006520 GO:0006525 GO:0006526 GO:0006541 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009064 GO:0009084 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0016053 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019752 GO:0034641 GO:0034654 GO:0043436 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046049 GO:0046390 GO:0046394 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0000166 GO:0003824 GO:0004088 GO:0005488 GO:0005524 GO:0016874 GO:0016879 GO:0016884 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
BSU15530	GO:0006091 GO:0006139 GO:0006220 GO:0006221 GO:0006222 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0022900 GO:0034641 GO:0034654 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046049 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0005488 GO:0009055 GO:0016491 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0050660 GO:0051536 GO:0051537 GO:0051540 GO:0097159 GO:1901265 GO:1901363	
BSU15540	GO:0006139 GO:0006206 GO:0006207 GO:0006220 GO:0006221 GO:0006222 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009112 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019856 GO:0034641 GO:0034654 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046049 GO:0046112 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004152 GO:0004589 GO:0016491 GO:0016627 GO:0016628 GO:0016635	GO:0005622 GO:0005737 GO:0110165
BSU15550	GO:0006139 GO:0006206 GO:0006207 GO:0006220 GO:0006221 GO:0006222 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009112 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019856 GO:0034641 GO:0034654 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046049 GO:0046112 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004590 GO:0016829 GO:0016830 GO:0016831	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU15560	GO:0006139 GO:0006206 GO:0006220 GO:0006221 GO:0006222 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009112 GO:0009117 GO:0009123 GO:0009124 GO:0009129 GO:0009130 GO:0009156 GO:0009161 GO:0009165 GO:0009173 GO:0009174 GO:0009218 GO:0009220 GO:0009259 GO:0009260 GO:0009987 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019856 GO:0034641 GO:0034654 GO:0044205 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046049 GO:0046112 GO:0046390 GO:0046483 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000287 GO:0003824 GO:0004588 GO:0005488 GO:0016740 GO:0016757 GO:0016763 GO:0043167 GO:0043169 GO:0046872	
BSU15570	GO:0000096 GO:0000097 GO:0000103 GO:0006082 GO:0006520 GO:0006534 GO:0006790 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009069 GO:0009070 GO:0009987 GO:0016053 GO:0019344 GO:0019379 GO:0019419 GO:0019752 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044272 GO:0044281 GO:0044283 GO:0046394 GO:0071704 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0004604 GO:0005488 GO:0016491 GO:0016667 GO:0016671 GO:0043167 GO:0043169 GO:0043866 GO:0046872 GO:0051536 GO:0051539 GO:0051540	GO:0005622 GO:0005737 GO:0110165
BSU15580	GO:0006810 GO:0006811 GO:0006817 GO:0006820 GO:0008272 GO:0009987 GO:0015698 GO:0051179 GO:0051234 GO:0055085 GO:0072348	GO:0005215 GO:0005315 GO:0015291 GO:0015318 GO:0022804 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU15590	GO:0000103 GO:0006790 GO:0008152 GO:0009058 GO:0009987 GO:0044237 GO:0044249 GO:0044272 GO:0070813 GO:0070814	GO:0000166 GO:0003824 GO:0004779 GO:0004781 GO:0005488 GO:0005524 GO:0016740 GO:0016772 GO:0016779 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0070566 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
BSU15600	GO:0000103 GO:0006790 GO:0006793 GO:0006796 GO:0008152 GO:0009058 GO:0009987 GO:0016310 GO:0044237 GO:0044249 GO:0044272 GO:0070813 GO:0070814	GO:0000166 GO:0003824 GO:0004020 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
BSU15610	GO:0006725 GO:0006766 GO:0006767 GO:0006778 GO:0006779 GO:0006783 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009235 GO:0009236 GO:0009987 GO:0018130 GO:0019354 GO:0019438 GO:0032259 GO:0033013 GO:0033014 GO:0034641 GO:0042168 GO:0042364 GO:0042440 GO:0044237 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046148 GO:0046156 GO:0046483 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004851 GO:0008168 GO:0008169 GO:0008757 GO:0016740 GO:0016741	
BSU15620	GO:0006725 GO:0006778 GO:0006779 GO:0006783 GO:0006807 GO:0008152 GO:0009058 GO:0009987 GO:0018130 GO:0019354 GO:0019438 GO:0033013 GO:0033014 GO:0034641 GO:0042168 GO:0042440 GO:0044237 GO:0044249 GO:0044271 GO:0046148 GO:0046156 GO:0046483 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004325 GO:0005488 GO:0016829 GO:0043167 GO:0043169 GO:0046872 GO:0051266	
BSU15630	GO:0006725 GO:0006766 GO:0006767 GO:0006778 GO:0006779 GO:0006783 GO:0006807 GO:0008152 GO:0009058 GO:0009110 GO:0009235 GO:0009236 GO:0009987 GO:0018130 GO:0019354 GO:0019438 GO:0033013 GO:0033014 GO:0034641 GO:0042168 GO:0042364 GO:0042440 GO:0044237 GO:0044249 GO:0044271 GO:0044281 GO:0044283 GO:0046148 GO:0046156 GO:0046483 GO:0071704 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0004325 GO:0016491 GO:0016627 GO:0016628 GO:0016829 GO:0043115	
BSU15640	GO:0006412 GO:0006414 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:0072344 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0003676 GO:0003723 GO:0005488 GO:0043021 GO:0043023 GO:0044877 GO:0097159 GO:1901363	GO:0032991 GO:1990112
BSU15650	GO:0006810 GO:0006811 GO:0006812 GO:0006816 GO:0009987 GO:0030001 GO:0034220 GO:0051179 GO:0051234 GO:0055085 GO:0070588 GO:0098655 GO:0098660 GO:0098662	GO:0000166 GO:0003824 GO:0005215 GO:0005388 GO:0005488 GO:0005524 GO:0008324 GO:0015075 GO:0015085 GO:0015318 GO:0015399 GO:0015662 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0016887 GO:0017076 GO:0017111 GO:0019829 GO:0022804 GO:0022853 GO:0022857 GO:0022890 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0042626 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046873 GO:0097159 GO:0097367 GO:0140358 GO:0140657 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU15660			
BSU15670		GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
BSU15680	GO:0006139 GO:0006163 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009126 GO:0009132 GO:0009135 GO:0009150 GO:0009161 GO:0009165 GO:0009167 GO:0009179 GO:0009185 GO:0009259 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046037 GO:0046483 GO:0046710 GO:0046940 GO:0055086 GO:0071704 GO:0072521 GO:0090407 GO:1901135 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901576	GO:0000166 GO:0003824 GO:0004385 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016776 GO:0017076 GO:0019205 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050145 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU15690	GO:0006139 GO:0006351 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0018130 GO:0019438 GO:0032774 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0046483 GO:0071704 GO:0090304 GO:0097659 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003899 GO:0005488 GO:0016740 GO:0016772 GO:0016779 GO:0034062 GO:0097159 GO:0097747 GO:0140098 GO:0140640 GO:1901363	GO:0000428 GO:0030880 GO:0032991 GO:0061695 GO:0140535 GO:1902494 GO:1990234
BSU15700	GO:0006082 GO:0006139 GO:0006163 GO:0006164 GO:0006575 GO:0006725 GO:0006753 GO:0006766 GO:0006767 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009056 GO:0009058 GO:0009111 GO:0009117 GO:0009150 GO:0009152 GO:0009165 GO:0009259 GO:0009260 GO:0009987 GO:0015936 GO:0015937 GO:0015939 GO:0015941 GO:0016054 GO:0018130 GO:0019438 GO:0019637 GO:0019693 GO:0019752 GO:0032787 GO:0033865 GO:0033866 GO:0033875 GO:0034030 GO:0034032 GO:0034033 GO:0034641 GO:0034654 GO:0042219 GO:0042365 GO:0043436 GO:0043603 GO:0044237 GO:0044238 GO:0044248 GO:0044249 GO:0044271 GO:0044281 GO:0044282 GO:0046390 GO:0046395 GO:0046483 GO:0055086 GO:0071704 GO:0072329 GO:0072521 GO:0072522 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901565 GO:1901566 GO:1901575 GO:1901576	GO:0000166 GO:0003824 GO:0004632 GO:0004633 GO:0005488 GO:0010181 GO:0016829 GO:0016830 GO:0016831 GO:0016874 GO:0016879 GO:0016881 GO:0032553 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0032991 GO:0071513 GO:0110165 GO:1902494
BSU15710	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006268 GO:0006269 GO:0006270 GO:0006281 GO:0006302 GO:0006310 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0006996 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0016043 GO:0016070 GO:0018130 GO:0019438 GO:0032392 GO:0032508 GO:0032774 GO:0033554 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0050896 GO:0051276 GO:0051716 GO:0071103 GO:0071704 GO:0071840 GO:0090304 GO:1901360 GO:1901362 GO:1901576	GO:0000166 GO:0003676 GO:0003677 GO:0003678 GO:0003824 GO:0004386 GO:0005488 GO:0005524 GO:0008094 GO:0008270 GO:0016787 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043138 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046914 GO:0097159 GO:0097367 GO:0140097 GO:0140640 GO:0140657 GO:1901265 GO:1901363	GO:0005622 GO:0005657 GO:0005694 GO:0030894 GO:0032991 GO:0032993 GO:0043226 GO:0043228 GO:0043229 GO:0043232 GO:0110165 GO:1990077
BSU15720	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0018193 GO:0018206 GO:0019538 GO:0031365 GO:0034641 GO:0034645 GO:0036211 GO:0043043 GO:0043170 GO:0043412 GO:0043603 GO:0043604 GO:0043686 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0003824 GO:0005488 GO:0016787 GO:0016810 GO:0016811 GO:0042586 GO:0043167 GO:0043169 GO:0046872	
