IDbsub	BiolProc	MolFun	CellComp
BSU00230	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0005488 GO:0043167 GO:0043169 GO:0046872	GO:0016020 GO:0016021 GO:0031224 GO:0110165
BSU00240	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0005488 GO:0043167 GO:0043169 GO:0046872	
BSU00250		GO:0003824 GO:0016787	
BSU00260			
BSU00270		GO:0003824 GO:0016829 GO:0016830 GO:0016831	
BSU00280	GO:0006139 GO:0006220 GO:0006221 GO:0006227 GO:0006233 GO:0006235 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009058 GO:0009117 GO:0009123 GO:0009132 GO:0009133 GO:0009138 GO:0009139 GO:0009141 GO:0009142 GO:0009147 GO:0009148 GO:0009165 GO:0009186 GO:0009189 GO:0009196 GO:0009197 GO:0009200 GO:0009202 GO:0009211 GO:0009212 GO:0009219 GO:0009221 GO:0009262 GO:0009263 GO:0009265 GO:0009394 GO:0009987 GO:0016310 GO:0018130 GO:0019438 GO:0019637 GO:0019692 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0046072 GO:0046075 GO:0046077 GO:0046385 GO:0046483 GO:0046940 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0004798 GO:0005488 GO:0005524 GO:0009041 GO:0016301 GO:0016740 GO:0016772 GO:0016776 GO:0017076 GO:0019205 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050145 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU00290			
BSU00300			
BSU00310	GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0018130 GO:0019438 GO:0034641 GO:0034654 GO:0043170 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0046483 GO:0071704 GO:0071897 GO:0090304 GO:0090305 GO:1901360 GO:1901362 GO:1901576	GO:0003676 GO:0003677 GO:0003824 GO:0003887 GO:0004518 GO:0004527 GO:0005488 GO:0008408 GO:0016740 GO:0016772 GO:0016779 GO:0016787 GO:0016788 GO:0034061 GO:0097159 GO:0140097 GO:0140640 GO:1901363	GO:0009360 GO:0032991 GO:0042575 GO:0061695 GO:0140535 GO:1902494 GO:1990234
BSU00320	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		GO:0005622 GO:0005737 GO:0110165
BSU00330	GO:0006139 GO:0006259 GO:0006260 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0005488 GO:0005515 GO:0042802	
BSU00340	GO:0006807 GO:0008152 GO:0071704	GO:0003824 GO:0008168 GO:0016740 GO:0016741	
BSU00350			
BSU00360	GO:0000154 GO:0000451 GO:0000453 GO:0001510 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031167 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0043414 GO:0044085 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003824 GO:0008168 GO:0008171 GO:0008173 GO:0008649 GO:0008757 GO:0016434 GO:0016740 GO:0016741 GO:0062105 GO:0070677 GO:0140098 GO:0140102 GO:0140640	GO:0005622 GO:0005737 GO:0110165
BSU00370	GO:0006355 GO:0009653 GO:0009889 GO:0009890 GO:0009892 GO:0009987 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0019219 GO:0019222 GO:0030154 GO:0030435 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0032502 GO:0043934 GO:0043937 GO:0045892 GO:0045934 GO:0048519 GO:0048523 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050793 GO:0050794 GO:0051171 GO:0051172 GO:0051252 GO:0051253 GO:0060255 GO:0065007 GO:0080090 GO:1902679 GO:1903506 GO:1903507 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0005515 GO:0042802 GO:0097159 GO:1901363	
BSU00380	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006418 GO:0006431 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000049 GO:0000166 GO:0003676 GO:0003723 GO:0003824 GO:0004812 GO:0004825 GO:0005488 GO:0005524 GO:0016874 GO:0016875 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0110165
